"AC Name","AC No.","Type","District","Winning Candidate","Party","Total Electors","Total Votes","Poll%","Margin","Margin %"
Achanta,56,GEN,https://www.indiavotes.com/district/ac/272/,Cherukuvada Sriranganadha Raju,Yuvajana Sramika Rythu Congress Party,174307,137294,78.8 %,12886,9.4%
Addanki ,105,GEN,https://www.indiavotes.com/district/ac/272/,Gottipati Ravikumar,Telugu Desam,231965,205934,88.8 %,12991,6.3%
Adoni,146,GEN,Visakhapatnam,Y. Sai Prasad Reddy,Yuvajana Sramika Rythu Congress Party,240200,155779,64.9 %,12319,7.9%
Allagadda,134,GEN,Vizianagaram,Gangula Brijendra Reddy (Nani),Yuvajana Sramika Rythu Congress Party,221149,184010,83.2 %,35613,19.4%
Alur,147,GEN,Visakhapatnam,P Jayaram,Yuvajana Sramika Rythu Congress Party,236276,186340,78.9 %,39896,21.4%
Amadalavalasa,6,GEN,https://www.indiavotes.com/district/ac/272/,Thammineni Seetharam,Yuvajana Sramika Rythu Congress Party,189631,147415,77.7 %,13991,9.5%
Amalapuram ,44,SC,https://www.indiavotes.com/district/ac/272/,Viswarupu Pinipe,Yuvajana Sramika Rythu Congress Party,203768,167376,82.1 %,25654,15.3%
Anakapalli,30,GEN,https://www.indiavotes.com/district/ac/272/,A V S S Amarnath Gudivada,Yuvajana Sramika Rythu Congress Party,205556,156691,76.2 %,8169,5.2%
Anantapur Urban,153,GEN,Visakhapatnam,Anantha Venkatarami Reddy,Yuvajana Sramika Rythu Congress Party,255805,163829,64.0 %,28698,17.5%
Anaparthy,40,GEN,https://www.indiavotes.com/district/ac/272/,Doctor. Sathi Suryanarayana Reddy,Yuvajana Sramika Rythu Congress Party,213505,184596,86.5 %,55207,29.9%
Araku Valley ,28,ST,https://www.indiavotes.com/district/ac/272/,Chetti. Palguna,Yuvajana Sramika Rythu Congress Party,220888,147398,66.7 %,25441,17.3%
Atmakur,115,GEN,https://www.indiavotes.com/district/ac/272/,Mekapati Goutham Reddy,Yuvajana Sramika Rythu Congress Party,209039,172146,82.4 %,22276,12.9%
Avanigadda,76,GEN,https://www.indiavotes.com/district/ac/272/,Ramesh Babu Simhadri,Yuvajana Sramika Rythu Congress Party,207334,182594,88.1 %,20725,11.4%
Badvel ,124,SC,Srikakulam,Dr. G. Venkata Subbaiah,Yuvajana Sramika Rythu Congress Party,205317,154815,75.4 %,44734,28.9%
Banaganapalle,140,GEN,Visakhapatnam,Katasani Rami Reddy,Yuvajana Sramika Rythu Congress Party,233723,193392,82.7 %,13384,6.9%
Bapatla,92,GEN,https://www.indiavotes.com/district/ac/272/,Kona Raghupathi,Yuvajana Sramika Rythu Congress Party,185068,153009,82.7 %,15199,9.9%
Bhimavaram,59,GEN,https://www.indiavotes.com/district/ac/272/,Grandhi Srinivas,Yuvajana Sramika Rythu Congress Party,246320,190569,77.4 %,8357,4.4%
Bhimli,20,GEN,https://www.indiavotes.com/district/ac/272/,Muttamsetti Srinivasarao (AVANTHI SRINIVAS),Yuvajana Sramika Rythu Congress Party,307125,225627,73.5 %,9712,4.3%
Bobbili ,14,GEN,https://www.indiavotes.com/district/ac/272/,Sambangi Venkatachina Appala Naidu,Yuvajana Sramika Rythu Congress Party,220843,171426,77.6 %,8352,4.9%
Chandragiri,166,GEN,East Godavari,Dr.Chevireddy Bhaskar Reddy,Yuvajana Sramika Rythu Congress Party,292115,226415,77.5 %,41755,18.4%
Cheepurupalli,15,GEN,https://www.indiavotes.com/district/ac/272/,Botcha Satyanarayana,Yuvajana Sramika Rythu Congress Party,198977,162530,81.7 %,26498,16.3%
Chilakaluripet,96,GEN,https://www.indiavotes.com/district/ac/272/,Rajini Vidadala,Yuvajana Sramika Rythu Congress Party,223940,187218,83.6 %,8301,4.4%
Chintalapudi ,68,SC,https://www.indiavotes.com/district/ac/272/,Vunnamatla Rakada Eliza,Yuvajana Sramika Rythu Congress Party,263354,212755,80.8 %,36175,17.0%
Chirala,106,GEN,https://www.indiavotes.com/district/ac/272/,Karanam Balarama Krishna Murthy,Telugu Desam,190818,156163,81.8 %,17419,11.2%
Chittoor,172,GEN,East Godavari,Aranii Srenevasulu (Jangalapalli),Yuvajana Sramika Rythu Congress Party,193863,150210,77.5 %,39968,26.6%
Chodavaram,26,GEN,https://www.indiavotes.com/district/ac/272/,Karanam Dharmasri,Yuvajana Sramika Rythu Congress Party,210793,169688,80.5 %,27637,16.3%
Darsi,103,GEN,https://www.indiavotes.com/district/ac/272/,Maddisetty Venugopal,Yuvajana Sramika Rythu Congress Party,214430,192850,89.9 %,39057,20.3%
Denduluru ,64,GEN,https://www.indiavotes.com/district/ac/272/,Abbaya Chowdary Kothari,Yuvajana Sramika Rythu Congress Party,220352,184443,83.7 %,17459,9.5%
Dharmavaram,160,GEN,East Godavari,Kethireddy Venkatarami Reddy,Yuvajana Sramika Rythu Congress Party,240525,208912,86.9 %,15666,7.5%
Dhone,141,GEN,Visakhapatnam,Buggana Raja Reddy,Yuvajana Sramika Rythu Congress Party,219962,172692,78.5 %,35516,20.6%
Elamanchili,32,GEN,https://www.indiavotes.com/district/ac/272/,Uppalapati Venkata Ramanamurthy Raju,Yuvajana Sramika Rythu Congress Party,198545,165803,83.5 %,4146,2.5%
Eluru,65,GEN,https://www.indiavotes.com/district/ac/272/,Alla Kali Krishna Srinivas,Yuvajana Sramika Rythu Congress Party,238865,159987,67.0 %,4072,2.5%
Etcherla,7,GEN,https://www.indiavotes.com/district/ac/272/,Gorle. Kiran Kumar,Yuvajana Sramika Rythu Congress Party,232048,190744,82.2 %,18711,9.8%
Gajapathinagaram,16,GEN,https://www.indiavotes.com/district/ac/272/,Appalanarasayya Botcha,Yuvajana Sramika Rythu Congress Party,198301,167693,84.6 %,27011,16.1%
Gajuwaka,25,GEN,https://www.indiavotes.com/district/ac/272/,Nagireddy Tippala,Yuvajana Sramika Rythu Congress Party,309996,197520,63.7 %,16753,8.5%
Gangadhara Nellore,171,SC,East Godavari,K. Narayana Swamy,Yuvajana Sramika Rythu Congress Party,199864,169844,85.0 %,45594,26.8%
Gannavaram,71,GEN,https://www.indiavotes.com/district/ac/272/,Vamsi Vallabhaneni,Telugu Desam,258057,218900,84.8 %,838,0.4%
